what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412498292719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412498293701
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412498301756
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412498303985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412498308708
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412498315245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412498322615
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412498326353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412498848742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412499625881
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412499626528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412499628119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412500809125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412500848999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412525861191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412525871772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1412525907257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1412525907482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1412525907973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412525920968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412525984547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412525986067
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412525994251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412526430342
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412559484296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412559484549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412559499536
