what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1412226699883
ws,sysinfo,,,"cocoa",1412226699883
locale,sysinfo,,,"en_US",1412226699883
processors,sysinfo,,,"8",1412226699883
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412226699883
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1412226699883
java.specification.name,sysinfo,,,"Java Platform API Specification",1412226699883
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412226699883
java.specification.version,sysinfo,,,"1.6",1412226699883
java.vendor,sysinfo,,,"Apple Inc.",1412226699883
java.version,sysinfo,,,"1.6.0_65",1412226699883
java.vm.info,sysinfo,,,"mixed mode",1412226699883
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1412226699883
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412226699883
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412226699883
java.vm.specification.version,sysinfo,,,"1.0",1412226699883
java.vm.vendor,sysinfo,,,"Apple Inc.",1412226699883
java.vm.version,sysinfo,,,"20.65-b04-462",1412226699883
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1412226699955
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1412226700207
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1412226701617
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1412226701676
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1412226701749
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1412226702167
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1412226702557
